gene_id	gene_symbol
ENSG00000004487	KDM1A
ENSG00000004848	ARX
ENSG00000005007	UPF1
ENSG00000005102	MEOX1
ENSG00000005302	MSL3
ENSG00000005339	CREBBP
ENSG00000005381	MPO
ENSG00000005483	KMT2E
ENSG00000006047	YBX2
ENSG00000006459	KDM7A
ENSG00000006712	PAF1
ENSG00000007545	CRAMP1
ENSG00000008083	JARID2
ENSG00000008196	TFAP2B
ENSG00000008838	MED24
ENSG00000009709	PAX7
ENSG00000009954	BAZ1B
ENSG00000010292	NCAPD2
ENSG00000010803	SCMH1
ENSG00000011258	MBTD1
ENSG00000011332	DPF1
ENSG00000012048	BRCA1
ENSG00000012817	KDM5D
ENSG00000012822	CALCOCO1
ENSG00000014824	SLC30A9
ENSG00000015171	ZMYND11
ENSG00000016082	ISL1
ENSG00000019485	PRDM11
ENSG00000019549	SNAI2
ENSG00000024048	UBR2
ENSG00000025293	PHF20
ENSG00000025770	NCAPH2
ENSG00000028310	BRD9
ENSG00000031691	CENPQ
ENSG00000032219	ARID4A
ENSG00000034063	UHRF1
ENSG00000036473	OTC
ENSG00000036549	AC118549.1
ENSG00000036828	CASR
ENSG00000041880	PARP3
ENSG00000043039	BARX2
ENSG00000043143	JADE2
ENSG00000043355	ZIC2
ENSG00000046651	OFD1
ENSG00000047410	TPR
ENSG00000048052	HDAC9
ENSG00000048649	RSF1
ENSG00000049618	ARID1B
ENSG00000049768	FOXP3
ENSG00000054267	ARID4B
ENSG00000054598	FOXC1
ENSG00000055609	KMT2C
ENSG00000056291	NPFFR2
ENSG00000056661	PCGF2
ENSG00000057657	PRDM1
ENSG00000057935	MTA3
ENSG00000059378	PARP12
ENSG00000059588	TARBP1
ENSG00000061273	HDAC7
ENSG00000061455	PRDM6
ENSG00000063978	RNF4
ENSG00000064195	DLX3
ENSG00000064205	WISP2
ENSG00000064655	EYA2
ENSG00000064835	POU1F1
ENSG00000064961	HMG20B
ENSG00000065526	SPEN
ENSG00000066117	SMARCD1
ENSG00000066135	KDM4A
ENSG00000066336	SPI1
ENSG00000066427	ATXN3
ENSG00000067066	SP100
ENSG00000067369	TP53BP1
ENSG00000068024	HDAC4
ENSG00000068305	MEF2A
ENSG00000068878	PSME4
ENSG00000068903	SIRT2
ENSG00000069535	MAOB
ENSG00000070047	PHRF1
ENSG00000070444	MNT
ENSG00000070495	JMJD6
ENSG00000071243	ING3
ENSG00000071564	TCF3
ENSG00000071655	MBD3
ENSG00000071794	HLTF
ENSG00000072310	SREBF1
ENSG00000072501	SMC1A
ENSG00000072736	NFATC3
ENSG00000073050	XRCC1
ENSG00000073111	MCM2
ENSG00000073282	TP63
ENSG00000073584	SMARCE1
ENSG00000073614	KDM5A
ENSG00000074047	GLI2
ENSG00000074266	EED
ENSG00000075089	ACTR6
ENSG00000076108	BAZ2A
ENSG00000076242	MLH1
ENSG00000077080	ACTL6B
ENSG00000077097	TOP2B
ENSG00000077152	UBE2T
ENSG00000077463	SIRT6
ENSG00000077514	POLD3
ENSG00000077684	JADE1
ENSG00000077721	UBE2A
ENSG00000077935	SMC1B
ENSG00000078403	MLLT10
ENSG00000078487	ZCWPW1
ENSG00000078900	TP73
ENSG00000079263	SP140
ENSG00000079313	REXO1
ENSG00000079785	DDX1
ENSG00000079841	RIMS1
ENSG00000080503	SMARCA2
ENSG00000080603	SRCAP
ENSG00000080839	RBL1
ENSG00000081059	TCF7
ENSG00000081189	MEF2C
ENSG00000081692	JMJD4
ENSG00000082014	SMARCD3
ENSG00000083168	KAT6A
ENSG00000083544	TDRD3
ENSG00000083642	PDS5B
ENSG00000084093	REST
ENSG00000084676	NCOA1
ENSG00000085185	BCORL1
ENSG00000085224	ATRX
ENSG00000085231	AK6
ENSG00000085840	ORC1
ENSG00000085999	RAD54L
ENSG00000086102	NFX1
ENSG00000086758	HUWE1
ENSG00000087152	ATXN7L3
ENSG00000087206	UIMC1
ENSG00000087250	MT3
ENSG00000088305	DNMT3B
ENSG00000088826	SMOX
ENSG00000089094	KDM2B
ENSG00000089163	SIRT4
ENSG00000089902	RCOR1
ENSG00000091073	DTX2
ENSG00000091831	ESR1
ENSG00000092377	TBL1Y
ENSG00000093000	NUP50
ENSG00000094631	HDAC6
ENSG00000094804	CDC6
ENSG00000094916	CBX5
ENSG00000095564	BTAF1
ENSG00000095787	WAC
ENSG00000096070	BRPF3
ENSG00000096401	CDC5L
ENSG00000096717	SIRT1
ENSG00000096872	IFT74
ENSG00000099284	H2AFY2
ENSG00000099364	FBXL19
ENSG00000099381	SETD1A
ENSG00000099937	SERPIND1
ENSG00000099954	CECR2
ENSG00000099956	SMARCB1
ENSG00000099991	CABIN1
ENSG00000100034	PPM1F
ENSG00000100084	HIRA
ENSG00000100105	PATZ1
ENSG00000100146	SOX10
ENSG00000100307	CBX7
ENSG00000100393	EP300
ENSG00000100395	L3MBTL2
ENSG00000100425	BRD1
ENSG00000100429	HDAC10
ENSG00000100462	PRMT5
ENSG00000100811	YY1
ENSG00000100823	APEX1
ENSG00000100888	CHD8
ENSG00000101040	ZMYND8
ENSG00000101057	MYBL2
ENSG00000101126	ADNP
ENSG00000101189	MRGBP
ENSG00000101191	DIDO1
ENSG00000101210	EEF1A2
ENSG00000101442	ACTR5
ENSG00000101654	RNMT
ENSG00000101812	H2BFM
ENSG00000101849	TBL1X
ENSG00000101882	NKAP
ENSG00000101901	ALG13
ENSG00000101945	SUV39H1
ENSG00000102038	SMARCA1
ENSG00000102054	RBBP7
ENSG00000102098	SCML2
ENSG00000102145	GATA1
ENSG00000102221	JADE3
ENSG00000102384	CENPI
ENSG00000102699	PARP4
ENSG00000102878	HSF4
ENSG00000102974	CTCF
ENSG00000103037	SETD6
ENSG00000103449	SALL1
ENSG00000103460	TOX3
ENSG00000103479	RBL2
ENSG00000103495	MAZ
ENSG00000103510	KAT8
ENSG00000103549	RNF40
ENSG00000104147	OIP5
ENSG00000104313	EYA1
ENSG00000104472	CHRAC1
ENSG00000104885	DOT1L
ENSG00000104951	IL4I1
ENSG00000105011	ASF1B
ENSG00000105048	TNNT1
ENSG00000105176	URI1
ENSG00000105392	CRX
ENSG00000105393	BABAM1
ENSG00000105419	MEIS3
ENSG00000105556	MIER2
ENSG00000105559	PLEKHA4
ENSG00000105610	KLF1
ENSG00000105821	DNAJC2
ENSG00000105968	H2AFV
ENSG00000106028	SSBP1
ENSG00000106299	WASL
ENSG00000106400	ZNHIT1
ENSG00000106462	EZH2
ENSG00000106571	GLI3
ENSG00000106624	AEBP1
ENSG00000106789	CORO2A
ENSG00000106829	TLE4
ENSG00000106948	AKNA
ENSG00000107077	KDM4C
ENSG00000107175	CREB3
ENSG00000107485	GATA3
ENSG00000107614	TRDMT1
ENSG00000107669	ATE1
ENSG00000107833	NPM3
ENSG00000108055	SMC3
ENSG00000108064	TFAM
ENSG00000108264	TADA2A
ENSG00000108292	MLLT6
ENSG00000108312	UBTF
ENSG00000108468	CBX1
ENSG00000108509	CAMTA2
ENSG00000108557	RAI1
ENSG00000108604	SMARCD2
ENSG00000108773	KAT2A
ENSG00000108799	EZH1
ENSG00000108840	HDAC5
ENSG00000109111	SUPT6H
ENSG00000109685	NSD2
ENSG00000109805	NCAPG
ENSG00000109819	PPARGC1A
ENSG00000109911	ELP4
ENSG00000110066	KMT5B
ENSG00000110851	PRDM4
ENSG00000111087	GLI1
ENSG00000111218	PRMT8
ENSG00000111224	PARP11
ENSG00000111247	RAD51AP1
ENSG00000111339	ART4
ENSG00000111530	CAND1
ENSG00000111642	CHD4
ENSG00000111653	ING4
ENSG00000111704	NANOG
ENSG00000111707	SUDS3
ENSG00000111752	PHC1
ENSG00000111783	RFX4
ENSG00000111875	ASF1A
ENSG00000112130	RNF8
ENSG00000112238	PRDM13
ENSG00000112273	HDGFL1
ENSG00000112319	EYA4
ENSG00000112511	PHF1
ENSG00000112658	SRF
ENSG00000112983	BRD8
ENSG00000113558	SKP1
ENSG00000113580	NR3C1
ENSG00000113648	H2AFY
ENSG00000113810	SMC4
ENSG00000113812	ACTR8
ENSG00000113916	BCL6
ENSG00000114115	RBP1
