gene_symbol	query_name	mpi
wjQm	05Rd	-1.677402803090499
rmzQ	05Rd	1.2476641882970454
x8rj	05Rd	2.1971396660797633
JgMH	05Rd	2.692238916528151
5iRk	05Rd	-0.7640175102888058
PExd	05Rd	-0.00749799187901931
j7Vg	05Rd	-1.0632830334699497
q4gE	05Rd	NA
McUH	05Rd	-0.6030885649911263
vBxA	05Rd	0.4102382896392542
ikBP	05Rd	3.3425789685907907
MGdy	05Rd	-1.0501597356055654
HPbz	05Rd	-0.671722694353134
Euun	05Rd	-1.0873556961470723
RGyC	05Rd	-3.398561410341119
tjTq	05Rd	-4.757230016081295
suFQ	05Rd	0.10857398953744217
NH5j	05Rd	-1.503119490506229
1SrW	05Rd	1.1041908973275154
vHIu	05Rd	-3.3777155698681303
SpQv	05Rd	-2.756405299701033
9C86	05Rd	2.0280028053021337
cIkA	05Rd	-0.059326387590778705
y1Ct	05Rd	-2.2883384227986
5URg	05Rd	5.056388985366752
02fD	05Rd	-5.22559796538065
roA4	05Rd	-3.73193384127148
bUhm	05Rd	-0.15812062732858492
Kb5V	05Rd	-2.538736571126217
UcgU	05Rd	0.7619922301908351
1eIZ	05Rd	0.29357789225185155
ho5m	05Rd	3.483733811497248
pTbc	05Rd	1.9256582665442583
003j	05Rd	4.10636255069737
zeOI	05Rd	-4.049321958866181
WG3x	05Rd	-3.029449029688326
9WGi	05Rd	-4.622893061707852
cmF8	05Rd	-3.0773369059665665
rqri	05Rd	3.7473835586316517
TNT4	05Rd	-4.2954636245467
Tofr	05Rd	-0.19032529045049273
5arJ	05Rd	-1.2888399631759988
BDTj	05Rd	-1.8093507382012446
p1My	05Rd	-1.0038315347269304
SmcG	05Rd	-1.4102033535907752
jJ2J	05Rd	-3.455543440275691
PRY4	05Rd	3.4853220004675953
KMTI	05Rd	5.652489369593785
MBhj	05Rd	-0.26901566643645486
6J6k	05Rd	0.3064424813926028
dwaa	05Rd	1.723857248808332
KWQg	05Rd	1.1065154058311513
TD4b	05Rd	2.727711576857125
PgSt	05Rd	0.5065775356955177
vqIu	05Rd	0.308674863866517
ng3t	05Rd	-3.6725821473350924
h99C	05Rd	-1.4477505730710147
rrYb	05Rd	2.988127971544653
aGmd	05Rd	-4.02621940866962
bgF6	05Rd	-1.930398287333856
f0Pt	05Rd	-1.2251522720034884
wjQm	0m8y	3.285809195479545
rmzQ	0m8y	-1.447423116309684
x8rj	0m8y	3.0164753918888683
JgMH	0m8y	3.522637552831439
5iRk	0m8y	-0.19834577482146423
PExd	0m8y	3.491664845133736
j7Vg	0m8y	0.3707754026773664
q4gE	0m8y	0.42747477068728906
McUH	0m8y	0.6648687044042753
vBxA	0m8y	0.025407617548578957
ikBP	0m8y	-0.9812704645943029
MGdy	0m8y	1.2994921503948895
HPbz	0m8y	0.06942774378536229
Euun	0m8y	3.8279406346543086
RGyC	0m8y	-0.3522656117311923
tjTq	0m8y	0.34402029713424376
suFQ	0m8y	-2.4887543862314967
NH5j	0m8y	-3.1900541651360785
1SrW	0m8y	-2.9461522133055316
vHIu	0m8y	0.9304278987103738
SpQv	0m8y	0.21450185498885724
9C86	0m8y	-1.223272647452202
cIkA	0m8y	0.705764460556831
y1Ct	0m8y	-0.16354762557382435
5URg	0m8y	-0.4419882371154555
02fD	0m8y	2.5930124289909986
roA4	0m8y	1.6920634921929234
bUhm	0m8y	0.37279502657435076
Kb5V	0m8y	6.484842421284445
UcgU	0m8y	-0.2576815640853975
1eIZ	0m8y	0.6694007114712992
ho5m	0m8y	-2.548703755897539
pTbc	0m8y	-0.6927298546732306
003j	0m8y	0.685926733719695
zeOI	0m8y	4.190495557437611
WG3x	0m8y	2.432638494834113
9WGi	0m8y	2.477475810900349
cmF8	0m8y	-1.689134719466969
rqri	0m8y	5.485198550829283
TNT4	0m8y	0.2897458304154092
Tofr	0m8y	-0.5460222622622763
5arJ	0m8y	-1.5455786573795138
BDTj	0m8y	0.022314332276007064
p1My	0m8y	-0.7089258783345009
SmcG	0m8y	-0.4762188590648296
jJ2J	0m8y	-1.8824942396939706
PRY4	0m8y	0.7217517215928526
KMTI	0m8y	-0.6901842470726266
MBhj	0m8y	-0.6927025894785395
6J6k	0m8y	-3.2739755033970637
dwaa	0m8y	-2.709753514676127e-4
KWQg	0m8y	-0.5333324599012537
TD4b	0m8y	2.7845261625917077
PgSt	0m8y	-1.768477515695343
vqIu	0m8y	2.1589787803591776
ng3t	0m8y	1.1198982078315227
h99C	0m8y	-0.35623063861168
rrYb	0m8y	-0.2714282311497577
aGmd	0m8y	0.7894975526444873
bgF6	0m8y	-7.654179866727683
f0Pt	0m8y	0.9591048961877383
wjQm	1WfC	0.7185586901720434
rmzQ	1WfC	1.394919534230499
x8rj	1WfC	2.1190695387648177
JgMH	1WfC	-0.5871458328392756
5iRk	1WfC	0.6468520903675253
PExd	1WfC	-4.806103096911535
j7Vg	1WfC	0.5881829629113892
q4gE	1WfC	-2.920979960410262
McUH	1WfC	0.25469831755360484
vBxA	1WfC	-0.021911327037190266
ikBP	1WfC	0.7574063722741619
MGdy	1WfC	0.4222483318453686
HPbz	1WfC	-0.6652257788926587
Euun	1WfC	5.3611085130825575
RGyC	1WfC	0.01770937498708073
tjTq	1WfC	-1.8288115882444271
suFQ	1WfC	4.650455757960467
NH5j	1WfC	1.751340741819211
1SrW	1WfC	-2.223957986322874
vHIu	1WfC	-2.194335562747915
SpQv	1WfC	-0.45576557063148926
9C86	1WfC	-0.16399733362770885
cIkA	1WfC	2.9540111020149236
y1Ct	1WfC	-0.9095559969562778
5URg	1WfC	-4.961456092043735
02fD	1WfC	-1.020033542459864
roA4	1WfC	-0.9431382309125833
bUhm	1WfC	-0.08941637859263393
Kb5V	1WfC	0.9059698829901672
UcgU	1WfC	0.08250761200361122
1eIZ	1WfC	-0.8244425211679579
ho5m	1WfC	4.288797743209495
pTbc	1WfC	-1.6875667922098483
003j	1WfC	2.1486338503125437
zeOI	1WfC	3.3584651252968487
WG3x	1WfC	-3.2820268951499854
9WGi	1WfC	-1.812218741281053
cmF8	1WfC	0.9453404394255454
rqri	1WfC	0.2953756051778615
TNT4	1WfC	-0.3115206793461574
Tofr	1WfC	1.3195946933232892
5arJ	1WfC	1.0341415290156675
BDTj	1WfC	1.1783227014058006
p1My	1WfC	0.6828385381623084
SmcG	1WfC	0.7222617246852052
jJ2J	1WfC	-0.140601833408533
PRY4	1WfC	1.0860503346032278
KMTI	1WfC	-0.1966565802954446
MBhj	1WfC	0.5714262435147925
6J6k	1WfC	-0.5566549347803917
dwaa	1WfC	1.012320841920104
KWQg	1WfC	-1.6734172682620905
TD4b	1WfC	0.9085193646108078
PgSt	1WfC	2.0425704401055835
vqIu	1WfC	1.612095213508983
ng3t	1WfC	0.234966166273979
h99C	1WfC	1.3968248128109821
rrYb	1WfC	2.8523519763981344
aGmd	1WfC	-0.030906776385672356
bgF6	1WfC	0.9312464473678328
f0Pt	1WfC	3.1112153357870276
wjQm	3eAl	-0.04586998791684414
rmzQ	3eAl	-2.992084507647064
x8rj	3eAl	2.267259818647749
JgMH	3eAl	0.21968185493723913
5iRk	3eAl	0.3194143126315269
PExd	3eAl	2.6823297204303658
j7Vg	3eAl	0.21691794356669097
q4gE	3eAl	-1.105790612103274
McUH	3eAl	0.12836771759248405
vBxA	3eAl	0.4241005076577087
ikBP	3eAl	0.8311983331122416
MGdy	3eAl	-1.0425106364573269
HPbz	3eAl	0.39212308386943445
Euun	3eAl	2.800174781844579
RGyC	3eAl	-1.1275828644670554
tjTq	3eAl	2.231850999839016
suFQ	3eAl	-1.7758759471462646
NH5j	3eAl	-0.6726404944786596
1SrW	3eAl	-3.278193533072784
vHIu	3eAl	-3.4299316255159287
SpQv	3eAl	-1.0424561281200542
9C86	3eAl	-4.614261671775542
cIkA	3eAl	1.7614043565839368
y1Ct	3eAl	-3.615728496143807
5URg	3eAl	2.7518095288663336
02fD	3eAl	3.685439742971252
