	FZD1	FZD2	FZD4	FZD5	FZD6	FZD7	FZD8	FZD9	FZD10
Wnt1	0.217166392	0.351980979	0.637868115	0.837861836	0	0.173289009	1	0.059623389	0.112702354
Wnt3	0.708672625	1.062440292	0.855612388	1	0.002120341	0.60276695	0.24539	0.002403019	0.757704297
Wnt3a	0.695015509	0.715410339	0.882677248	1	0.00749394	0.707858961	0.173971232	0.003072705	0.872198653
Wnt7a	0.451969282	0.039927435	0.023252276	1	0	0.096933617	0.196945545	0.002485461	0.020062298
Wnt7b	0.166711153	0.063744088	0.280677409	1	0.003174409	0.046581052	0.536628878	0.004647785	0.098953944
Wnt8a	0	0.001279039	0.04712991	0.736532076	0.007463106	-0.003253715	1	0.002582278	0
Wnt8b	0	-0.000105981	0.015103885	1	0.006467078	0.000608237	0.759578297	0.010026313	0
Wnt9a	0.084301543	0.020480742	1	0.139302181	0.021990746	0.032562966	0.113746606	0.027192442	0.510521208
Wnt9b	0.054245661	0.022515231	0.82366905	1	0.021208421	0.028017277	0.568639659	0.02347576	0.7909564
Wnt10a	0.301026215	0.051862648	0.097656375	1	0.001890951	0.039496496	0.822942566	0.007458735	-0.001945804
