UniqueCount	AmbigCount
0	1430
21	1483
0	1435
0	1498
5	1488
11	1504
0	1442
0	1438
0	1436
0	49
0	34
0	0
0	378
13	414
0	38
1	125
0	41
0	864
77	864
96	0
31	0
0	0
0	0
0	57
64	93
0	53
0	5
0	5
0	5
0	0
0	0
0	0
137	0
423	0
0	0
0	0
0	0
0	1365
20	1365
0	0
247	0
0	0
216	1
69	4
0	22
0	9
2	144
0	146
3	223
0	295
106	305
11	0
103	0
0	39
0	45
0	47
0	40
0	38
0	14
0	41
0	41
3	6
0	40
0	47
0	46
0	40
1	14
0	39
0	46
0	41
0	40
0	41
0	0
0	57
0	57
0	57
1	57
44	2
2	111
0	111
49	253
0	253
8	301
4	307
1	303
0	309
27	0
637	0
0	2
0	1
11	2
0	141
8	141
403	141
0	141
0	64
2	64
0	71
0	73
0	55
0	272
0	266
185	6
83	0
1621	0
0	66
0	66
0	75
0	66
0	71
0	66
0	30
0	15
0	505
2	385
0	319
3	318
17	377
0	503
0	505
1	385
0	0
0	0
0	34
0	34
19	334
2	334
0	319
2	38
0	38
828	101
3	101
276	0
169	0
0	0
0	80
10	80
0	0
69	0
617	0
32	54
0	171
1	232
0	77
0	84
0	168
0	253
0	255
937	0
0	0
0	0
0	615
0	615
0	0
118	1
0	9
1	9
0	9
0	0
2025	0
3	0
5	0
26	0
0	71
0	59
0	0
183	0
1	48
34	48
1	515
0	515
1	515
3	515
3	515
478	0
0	7
0	7
0	7
0	0
0	0
0	263
0	298
0	273
0	263
2	297
0	298
0	105
0	66
0	97
0	122
0	105
0	121
1	1
0	641
16	635
1	635
0	635
0	1
1	1
0	1
0	2
0	2
0	203
13	203
0	184
10	94
0	92
0	94
0	94
0	92
0	93
0	94
151	253
0	443
0	0
0	1
0	1
797	1907
0	1907
0	3
0	3
0	3
0	3
0	3
0	3
101	3923
0	3923
0	12
0	10
0	11
0	11
0	12
0	0
0	0
0	0
5	364
27	179
15	177
0	362
0	336
0	853
0	853
0	857
3	857
0	0
0	78
0	78
7	98
0	98
0	0
0	72
16	72
2	0
1	900
0	900
1	0
0	576
0	576
0	337
107	0
6	0
0	0
152	0
1	394
0	394
0	0
0	0
0	3
0	3
0	152
0	152
0	152
220	0
0	85
0	85
5	143
0	143
31	25
0	25
0	257
0	262
0	351
0	346
0	0
0	0
13	1007
0	1010
0	998
0	1012
6	1002
0	1004
0	1006
348	0
5	63
0	63
7	507
0	395
0	0
0	0
0	175
0	175
0	704
1	704
0	0
1	5
0	59
1	59
0	30
0	30
0	30
0	25
0	29
0	16
0	16
2	226
0	210
0	173
0	17
37	18
0	14
3	687
3	645
0	690
2	878
1	878
0	878
0	878
0	59
0	60
0	59
0	59
0	60
0	60
2217	0
107	0
0	0
0	0
0	503
0	509
1	509
0	509
1	0
0	82
0	82
13770	0
4	3
0	117
0	113
0	117
0	0
0	157
0	153
46	14
144	0
0	0
0	0
0	0
584	0
8011	53797
1	0
0	0
0	12
0	30
0	30
0	12
0	30
0	12
0	30
0	4
0	4
0	42
0	35
0	35
5	0
42	0
0	4
0	61
0	0
0	0
0	0
5	162
0	162
26	0
0	179
2	178
0	179
0	96
2	0
0	307
2	298
1	306
149	4
0	0
0	0
0	0
0	0
0	0
10	15
0	0
0	414
0	401
1	364
0	383
0	73
0	73
0	73
104	381
0	308
6	374
5	0
0	0
12	0
14	0
3	2
196	0
120	1
1	0
0	3
0	0
0	3
188	16
188	0
0	0
926	0
28	0
0	88
0	88
2	81
0	76
2	81
0	0
0	126
7	126
15	0
0	207
0	207
0	0
12	0
101	0
0	38
0	38
0	37
21	59
0	25
0	58
0	16
0	24
34	1743
1	1743
1	1648
0	1641
62	10421
0	10421
44	0
145	0
0	0
0	13694
1454	13694
0	0
0	0
3	0
176	0
0	4433
1	4454
2	4454
1	4453
0	0
0	1
5	1
825	0
0	21
0	20
0	21
286	0
0	92
20	92
0	4
884	22
0	0
0	0
0	0
1	0
0	0
0	30
0	34
0	30
0	34
11	966
0	966
88	38
1	326
1	249
2	326
7996	0
13	0
5	660
13	660
1	6
2	6
0	3
0	3
0	3
0	3
148	0
1	0
0	0
0	0
0	0
0	115
0	102
0	0
0	0
11	0
0	38
0	12
0	33
0	21
0	38
0	21
0	12
1	33
65	6
0	0
1	350
270	349
0	261
0	898
0	899
0	900
0	917
0	899
0	897
0	871
0	897
0	895
4	11983
89	12028
0	12028
0	0
0	0
0	0
37	0
0	525
24	638
0	129
0	599
7	129
0	0
0	0
0	27
0	27
